[control]genre,[control]game,[control]player_id,[control]session_id,[control]video_name
Platformer,Endless,0AD33010-1AC1-E9FB-2FD4-313E3DF4692D,059D9382-652F-2B58-F39F-D6C4DC117D54,0AD33010-1AC1-E9FB-2FD4-313E3DF4692D_endless_059D9382-652F-2B58-F39F-D6C4DC117D54.webm
Platformer,Endless,1AE03BA6-E346-DEB8-4865-276ECC5CD9B1,6CBF340D-1FEA-F022-8558-B04C12F3585D,1AE03BA6-E346-DEB8-4865-276ECC5CD9B1_endless_6CBF340D-1FEA-F022-8558-B04C12F3585D.webm
Platformer,Endless,243FE25F-E451-21F6-7EFA-F9DACC7D31CA,D5259571-7E0D-B255-1A36-480AFA226C50,243FE25F-E451-21F6-7EFA-F9DACC7D31CA_endless_D5259571-7E0D-B255-1A36-480AFA226C50.webm
Platformer,Endless,5502FDE7-6AB5-FE68-3AC3-EB99E27C2B91,3D24BC78-AAD2-0AD4-BB4D-7D222D5E6261,5502FDE7-6AB5-FE68-3AC3-EB99E27C2B91_endless_3D24BC78-AAD2-0AD4-BB4D-7D222D5E6261.webm
Platformer,Endless,623D68EC-1C36-4E39-4317-BE7B59F593D2,951D4DCF-5E32-E7FB-1B02-7F8DD1DAEF27,623D68EC-1C36-4E39-4317-BE7B59F593D2_endless_951D4DCF-5E32-E7FB-1B02-7F8DD1DAEF27.webm
Platformer,Endless,64A0EC69-0CE2-8405-0FFC-D63A7F55E703,91553A0C-A264-4832-60E4-D5CE15E03C37,64A0EC69-0CE2-8405-0FFC-D63A7F55E703_endless_91553A0C-A264-4832-60E4-D5CE15E03C37.webm
Platformer,Endless,6E42D32E-048C-D829-197E-7950E78F58CB,0639BF13-F04A-4BA6-A9C5-A0383B9D76D9,6E42D32E-048C-D829-197E-7950E78F58CB_endless_0639BF13-F04A-4BA6-A9C5-A0383B9D76D9.webm
Platformer,Endless,8DD09016-F898-915E-4A5C-727F57619D73,915A71B2-E3C6-FF5A-2F37-8D985B88F129,8DD09016-F898-915E-4A5C-727F57619D73_endless_915A71B2-E3C6-FF5A-2F37-8D985B88F129.webm
Platformer,Endless,B0AAFE06-91C2-2C6D-4547-7508BB719E45,CA3D2CA5-AC46-643C-26B5-10D2094D7062,B0AAFE06-91C2-2C6D-4547-7508BB719E45_endless_CA3D2CA5-AC46-643C-26B5-10D2094D7062.webm
Platformer,Endless,C0ABDBF6-67EF-EA64-A2D1-42FA92BD5713,0135ECD3-406E-84FD-C35D-5DB6C9B625A9,C0ABDBF6-67EF-EA64-A2D1-42FA92BD5713_endless_0135ECD3-406E-84FD-C35D-5DB6C9B625A9.webm
