,0
bot_respawn,0.6669232474506134
bot_delta_rotation,0.6669232474506134
bot_lap,0.6669232474506134
bot_steering,0.6669232474506134
bot_gas_pedal,0.6669232474506134
bot_is_crashing,0.6669232474506134
bot_is_off_road,0.6669232474506134
bot_is_looping,0.6669232474506134
bot_speed_boost,0.6669232474506134
bot_speed,0.6669232474506134
bot_score,0.6669232474506134
bot_standing,0.6669232474506134
player_respawn,0.6669232474506134
player_distance_to_way_point,0.6669232474506134
player_lap,0.6669232474506134
player_steering,0.6669232474506134
player_gas_pedal,0.6669232474506134
player_is_off_road,0.6669232474506134
player_is_crashing,0.6669232474506134
player_is_looping,0.6669232474506134
player_is_mid_air,0.6669232474506134
player_speed_boost,0.6669232474506134
player_speed,0.6669232474506134
bot_distance_to_way_point,0.6669232474506134
player_standing,0.6669232474506134
visible_speed_boost_count,0.6669232474506134
visible_obstacle_count,0.6669232474506134
visible_loop_count,0.6669232474506134
visible_jump_count,0.6669232474506134
player_point_pickup,0.66677545691906
player_slow_pickup,0.66677545691906
bot_is_jumping,0.66677545691906
bot_is_falling,0.66677545691906
bot_is_colliding_right,0.66677545691906
bot_is_colliding_left,0.66677545691906
bot_is_colliding_below,0.66677545691906
bot_is_colliding_above,0.66677545691906
bot_has_collisions,0.66677545691906
player_has_powerup,0.66677545691906
bot_charging,0.66677545691906
player_boost_pickup,0.66677545691906
player_power_pickup,0.66677545691906
player_is_jumping,0.66677545691906
player_is_falling,0.66677545691906
player_is_colliding_right,0.66677545691906
player_is_colliding_left,0.66677545691906
player_is_colliding_below,0.66677545691906
player_is_colliding_above,0.66677545691906
player_has_collisions,0.66677545691906
objects_destroyed,0.6663012956303266
player_tries_shoot_on_reload,0.6663012956303266
destructible_count,0.6663012956303266
player_healing,0.6663012956303266
player_sprinting,0.6663012956303266
player_aim_at_enemy,0.6663012956303266
player_aim_at_destructible,0.6663012956303266
player_reloading,0.6663012956303266
bot_speed_z,0.6663012956303266
 bot_delta_rotation ,0.6663012956303266
reticle_delta_distance,0.6663012956303266
player_crouching,0.6663012956303266
bot_reloading,0.6663012956303266
player_speed_z,0.6663012956303266
bot_aim_at_player,0.6663012956303266
player_is_grounded,0.33369870436967336
bot_player_distance,0.33369870436967336
bot_is_grounded,0.33369870436967336
player_delta_rotation,0.33322454308093996
player_health,0.3330767525493867
player_shooting,0.3330767525493867
player_death,0.3330767525493867
player_projectile_distance,0.3330767525493867
player_speed_y,0.3330767525493867
player_speed_x,0.3330767525493867
player_kill_count,0.3330767525493867
player_damaged,0.3330767525493867
player_projectile_count,0.3330767525493867
player_health_pickup,0.3330767525493867
bot_speed_x,0.3330767525493867
bot_speed_y,0.3330767525493867
bot_health,0.3330767525493867
bot_damaged,0.3330767525493867
bot_shooting,0.3330767525493867
bot_projectile_count,0.3330767525493867
bot_projectile_player_distance,0.3330767525493867
pick_ups_visible,0.3330767525493867
pick_up_player_disctance,0.3330767525493867
[general]bot_count,0.0
[general]player_movement,0.0
[general]bot_movement,0.0
[general]bot_diversity,0.0
[general]activity,0.0
[general]score,0.0
[general]object_diversity,0.0
[general]input_diversity,0.0
[general]object_intensity,0.0
player_score,0.0
[general]event_intensity,0.0
[general]event_diversity,0.0
key_press_count,0.0
idle_time,0.0
visible_bot_count,0.0
[general]input_intensity,0.0
player_delta_distance,0.0
bot_delta_distance,0.0
[general]time_passed,0.0
